title,description
Hormones,"High school students in Bangkok wrestle with issues such as sex, teen pregnancy, drugs, school violence, family turmoil and more in this Thai drama."
Rehmataan,"As unemployment, drug addiction and corruption plague a society, this drama depicts the people who believe there’s still good in the world."
A Family,"Taken in by the yakuza at a young age, Kenji swears allegiance to his old-school boss, pledging to adhere to the family code amid ever-changing times."
"Good Night, and Good Luck",Veteran television newsman Edward R. Murrow faces off against Sen. Joseph McCarthy and his crusade to quell the threat of communism in America.
A Christmas Prince: The Royal Baby,"Christmas brings the ultimate gift to Aldovia: a royal baby. But first, Queen Amber must save her family and kingdom by unwrapping a monarchy mystery."
Angamaly Diaries,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
Women Of The Night,"Haunted by a shadowy past, the wife of a rising star in Amsterdam's mayoral office finds herself drawn into the city’s underworld of sex and drugs."
Albion: The Enchanted Stallion,"After a magical horse transports her to a fantasy world ruled by an evil general, a brave girl sets out to save the land once and for all."
Maid-Sama!,"To keep the boys in line, student council president Misaki runs the school with an iron fist – while secretly working as a waitress at a maid café."
Jonas,"During Carnival, two teens from different classes meet years after being kept apart. Bad decisions lead the boy to hide with the girl inside a float."
Bangistan,"Sent on the same deadly international mission by their rival religious factions, two men's madcap antics along the way take them hilariously off course."
Rising Phoenix,"Elite athletes and insiders reflect on the Paralympic Games and examine how they impact a global understanding of disability, diversity and excellence."
Bokeh,"After learning they are the sole survivors of an eerie apocalypse, a young American couple on vacation in Iceland ponder their love and the future."
Like Father,"After she's left at the altar, a workaholic advertising executive ends up on her Caribbean honeymoon cruise with her estranged father."
Once Upon a Time in America,Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.
Stuck Apart,"Entrenched in a midlife crisis, Aziz seeks solace from his mundane job, lonesome friends and rowdy family while pretending to have his act together."
Bad Seeds,"Troubled by his past, a scam artist who runs a petty racket with his adoptive mom finds redemption while mentoring a group of difficult students."
Los tiempos de Pablo Escobar,"Featuring never-before-seen images, personal testimonies and more, this is the story of one of the most notorious drug smugglers of all time."
Nothing to Lose,This biographical drama traces the rise to fame of controversial Brazilian evangelical leader and business titan Edir Macedo.
Radio Rebel,"Shy student Tara has a secret identity: She is smooth-talking Radio Rebel, a DJ who lends her voice to all kids, popular and unpopular alike."
Virunga: Gorillas in Peril,The team behind the searing documentary reveals what inspired them to tell the story of Virunga and the lethal fight to save the gorillas' sanctuary.
Victor,"In 1962 Brooklyn, a Puerto Rican teen who joins a gang is seduced by violence and heroin. But can his mother's love and faith in God save him?"
Qila,"When an abusive landowner is murdered, his twin brother sets out to find the killer but quickly discovers that everyone, it seems, wanted him dead."
Paul Hollywood's Big Continental Road Trip,"Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany."
Dolemite Is My Name,"In 1970s LA, struggling comedian Rudy Ray Moore hits it big with his raunchy alter ego, Dolemite, then risks it all to take his act to the big screen."
Almost Happy,"Sebastián is a radio show host of modest fame, trying to find a way in the world as he deals with his ex-wife (whom he still loves) and two kids."
AJIN: Demi-Human,A teenager discovers that he is an Ajin and flees before the authorities experiment on him. Other Ajin plan to fight back and he must choose a side.
The Spy Next Door,"While babysitting, an undercover agent is thrust back into the world of top-secret adventure when one his young charges downloads a classified file."
Next,Las Vegas magician Cris can see a few minutes into the future and an FBI agent wants his help thwarting a nuclear attack.
Monster Hunter: Legends of the Guild,"In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon."
Accidentally in Love,"Rejecting the demands of her wealthy family, a young woman poses as an ordinary college student and crosses paths with a stoic pop star at school."
Shorgul,A Hindu boy's feelings for a Muslim girl expose the tensions between their two communities and open the door to chaos and violence.
Weapon of Choice,"Speaking to retailers and owners of the Glock pistol, two filmmakers shed light on the politics of violence and its implications from Chicago to Kirkuk."
Romantik Komedi 2: Bekarlığa Veda,"Didem tries everything to get actor Cem to propose to her, but he's got other things on his mind: a beautiful new co-star and a secret bachelor party."
Tee Shot: Ariya Jutanugarn,"This biopic follows pro golfer Ariya Jutanugarn's journey to the LPGA tour, from child prodigy to her number-one ranking in the world."
Million Yen Women,"Five beautiful but mysterious women move in with unsuccessful novelist Shin, who manages their odd household in exchange for a tidy monthly sum."
Tomorrow Never Dies,"Pierce Brosnan stars in this 007 installment, which teams the secret agent and a sexy Chinese superspy against a megalomaniacal media mogul."
The World We Make,"A teenage equestrian and a local football player fall for each other, but simmering racism in their small town puts their relationship to the test."
Secret Affair,"A married middle-aged woman is swept off her feet, both romantically and artistically, by a gifted young pianist."
RUSSELL BRAND: RE:BIRTH,Russell Brand gets loquacious in London as he ruminates on the state of the world and marvels over how his life changed the moment he became a father.
